编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
17,孔策轮,男,21,3.646623740672797,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
18,赵固进,男,22,3.594238729517797,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,窦燕伊,女,21,3.5698927903931597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,周世泰,男,21,3.5454838107274362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,昌康彪,男,22,3.484698263162486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,窦梦思,女,22,3.4614124676599154,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,花蓓,女,20,3.4558210830110214,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,苗俊山,男,20,3.4342073432105833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,谢琼雪,女,22,3.433733440678244,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
26,金园,女,20,3.4276343656306603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,严彪泽,男,20,3.412954704741055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
28,范慧梦,女,20,3.384733440603732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
29,鲍香,女,20,3.360908218426127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,张善裕,男,21,3.3418466298829825,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
31,鲁和,男,21,3.3360984821527473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,尤燕,女,21,3.332625011790118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,褚莉荔,女,22,3.3236316172600007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,吕易,男,21,3.317569909702855,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,任澜艳,女,20,3.3077427452915997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,夏侯亮丁,男,20,3.2886584254769886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,史承,男,21,3.2355981256982442,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
38,苏彩莎,女,20,3.192056893243967,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
39,袁雅,女,20,3.1794622019575667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,吕以祥,男,22,3.12720022091296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,凤有,男,20,3.0681020807444677,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
42,周蓓枝,女,22,3.0546216175302185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,曹琰勤,女,20,3.0270559486132633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,严风强,男,21,3.0060672645474815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,史凤婷,女,20,2.9864588750941965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,任会,男,21,2.961556964847123,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
47,夏侯真发,男,22,2.9529622632105696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,秦荣琰,女,21,2.952065006758547,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
49,窦妍倩,女,21,2.9198410899813974,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,云明,男,21,2.8809701018435816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,陈寒伊,女,20,2.873688733363146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,卫雄龙,男,21,2.868324896791463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
53,唐善建,男,22,2.861918771937187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,吴凯磊,男,21,2.8592235832172577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,鲁致军,男,20,2.8253709148916215,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
56,戚泽若,男,20,2.774729353144168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
57,范琳珍,女,22,2.769300641374908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
58,凤瑾婷,女,22,2.7531697934550987,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,何器河,男,21,2.6986643626886155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,曹琦,女,21,2.6918699781472437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,章玲凡,女,22,2.6364512842631713,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
62,许宏震,男,20,2.6004652189213857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,褚固军,男,22,2.5721924224475963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,柳友,男,20,2.565583868294061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,花璐环,女,21,2.53723784396062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
66,司马雪枫,女,22,2.5123308015924013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
67,袁娥妹,女,21,2.4917136369299073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,潘裕飞,男,22,2.491238135344677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,郎蓉霞,女,22,2.4730946814805232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,诸葛维保,男,20,2.453084016474528,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,金纨,女,21,2.4359345742150316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
72,谢姣昭,女,20,2.411557370338456,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,曹元,男,20,2.3904446279919807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,尤中歌,男,22,2.3699275899511614,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
75,郎天,男,22,2.3344928894983896,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
76,杨光宁,男,20,2.279077008934763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,蒋涛绍,男,20,2.2750991132511915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,尉迟胜楠,男,20,2.2367154763343775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,苗善,男,20,2.22147815196306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,花凝娴,女,20,2.2107496690167623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,柳舒馨,女,21,2.193932211670441,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,唐婷,女,20,2.178616267938705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,花君妍,女,22,2.140582461327356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,郑荣瑗,女,20,2.1355328825284126,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
85,鲍伦和,男,22,2.103619900590484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,沈震心,男,20,2.103411993486089,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
87,秦茂,男,20,2.099073910749831,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
88,皇甫淑洁,女,21,2.0790127173181574,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
89,赵力亮,男,22,2.0686135044042357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,苏泽,男,21,2.0054026454412135,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
