编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
23,姜强世,男,22,3.5351316361746736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,柳梅荣,女,20,3.520281598881872,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,沈芳凡,女,21,3.5201667648332045,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
26,苗义中,男,21,3.4695236400584237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,朱若子,男,20,3.461785972217233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
28,鲁利彪,男,21,3.4316745001389695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,孔彬绍,男,22,3.4158480490783925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,范河航,男,21,3.3989665921772456,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,秦瑞琴,女,22,3.341353561990237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,方俊勇,男,21,3.2602583243334715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,魏兰荣,女,22,3.230735703400109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,沈瑾珠,女,20,3.2301093876464013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,范中,男,20,3.2137324057900223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,吕春,女,21,3.2000100522811237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,张中思,男,21,3.1886285372491834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,章素霄,女,22,3.1407191343521843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,方娟娥,女,20,3.1074979267954843,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
40,施悦,女,20,3.102031033985118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,苗松学,男,21,3.0762037960369035,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
42,陈超,男,20,3.0144584909940244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,蒋芳洁,女,22,2.9794729452923043,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
44,吴欣,女,22,2.9089664890244427,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
45,皇甫会,男,22,2.891893797254779,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
46,理塘国,男,21,2.871397404951785,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
47,鲍玲淑,女,21,2.8287223982136283,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,韩婵艺,女,22,2.793501125084838,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,葛菊英,女,21,2.7823396615197344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,吴永,男,22,2.76358075948474,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,施钧若,男,21,2.7527500444287814,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,彭国,男,20,2.7369973626403947,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
53,苗佳,女,20,2.657416274675798,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,严丁士,男,22,2.656878724809701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,袁娣荣,女,22,2.6514048856002836,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56,许义,男,20,2.645109855869709,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,花军航,男,21,2.5963943929873565,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,尉迟思柔,女,21,2.5869583177229085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,冯毅,男,20,2.58608539795914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,彭柔荔,女,22,2.5630524100411742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,彭岚,女,20,2.5532255148372704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,凤腾利,男,21,2.532637466377331,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
63,冯成,男,21,2.5200716229885405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,鲍黛,女,22,2.4987407406209634,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
65,尤福士,男,20,2.4797152058013463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,孙翔有,男,22,2.4580757860076865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,曹敬,男,20,2.4532559425528655,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
68,严思,女,21,2.4466581568161763,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
69,姜才雄,男,22,2.432768115614431,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
70,杨慧淑,女,21,2.427992897296707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,史琰媛,女,22,2.3930400192886605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,姜影红,女,22,2.3873492543704566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,韩辉,男,21,2.372471256382237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,柳姣芳,女,21,2.3625656215536903,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
75,曹轮江,男,22,2.349942411211915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
76,卫红,女,21,2.3236561570232555,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,吕欣宜,女,22,2.3003470068413887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,华乐磊,男,22,2.2816916614684417,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,朱国成,男,20,2.2381402715159027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,马飞全,男,21,2.2268110209591523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,郑影,女,20,2.194543528149145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,云环君,女,20,2.1942844712262177,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
83,范彬翔,男,22,2.194083712028866,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,李亮,男,21,2.1803372840333477,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,华斌,男,20,2.1506163952915296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
86,范毅风,男,21,2.1249504224150835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,郑滢娴,女,22,2.113810837649694,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
88,唐桂,女,22,2.1051970931421478,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
89,郎晓琦,女,21,2.0814917889811273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
90,谢进会,男,20,2.020041475382189,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
