编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
42,彭媛,女,20,3.0646913030765406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,卫妹莉,女,20,2.9274630690253063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,蒋莉美,女,22,2.926632976084327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,葛武航,男,21,2.8277538671491467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,韦腾中,男,21,2.7634888489100184,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,柳黛香,女,21,2.7450947250704547,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
48,陈友进,男,22,2.723083227302931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
49,彭友钧,男,21,2.714158913615496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
50,郎树易,男,21,2.6511287612455905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,王清,男,22,2.642037487496849,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,何仁,男,22,2.6109473511589556,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
53,褚斌光,男,20,2.584456308733783,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,柳环,女,21,2.56554556627656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
55,吕香,女,20,2.515944403651803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,许丽宁,女,22,2.4977723247898544,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,吴鹏,男,21,2.49291366693929,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,陶滢娟,女,20,2.4858579807908106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
59,吴光琛,男,22,2.4808954099358265,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
60,华聪,女,20,2.4405523099636675,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,苗弘武,男,22,2.436984076991915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,朱静晶,女,20,2.428542325716315,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,苏锦,女,20,2.425892452868524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,史霄,女,22,2.4163841251010423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,章顺天,男,22,2.4107321395283265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,金梅佳,女,22,2.3923656366822446,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
67,潘芳园,女,20,2.3842141955248186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,邹强强,男,22,2.3411672505565475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,孙震功,男,21,2.3208554949936167,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,陶宏雄,男,21,2.315678357755366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
71,许清,男,22,2.2680263447337956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
72,蒋宁,女,20,2.250266487996986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,夏侯坚树,男,22,2.2488374808413747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,袁英,女,20,2.24639635850982,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
75,俞澜瑞,女,22,2.2347161375428257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,史启涛,男,22,2.2217429567834563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,陈君,女,22,2.1998608814770693,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
78,孙嘉莲,女,21,2.1738899354484613,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,谢桂飘,女,22,2.1527500789329705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,吴蕊,女,20,2.1526532854916836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,凤琳,女,22,2.1384917770315517,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
82,邹昭纯,女,22,2.1080715809296335,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
83,邹眉婷,女,20,2.1000905030614407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,金荷莲,女,22,2.09429896067895,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
85,诸葛林,男,20,2.0814444271144943,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,魏冰凡,女,21,2.0616435130680406,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
87,许善功,男,21,2.050935468748743,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
88,金菲蓓,女,22,2.0218760020945763,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
89,葛清永,男,22,2.0180050141859094,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,司马有若,男,22,2.0111973964763736,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
